sample,cluster
ERR2239979,1
ERR2239980,1
ERR2239981,1
ERR2239982,1
ERR2239983,1
ERR2239984,1
ERR2239985,1
ERR2239986,1
ERR2239987,2
ERR2239988,2
ERR2239989,2
ERR2239990,2
ERR2239991,3
ERR2239992,3
ERR2239993,3
ERR2239994,1
ERR2239995,1
ERR2239996,1
ERR2239997,3
ERR2239998,3
ERR2239999,3
ERR2240000,1
ERR2240001,1
ERR2240002,1
ERR2240003,3
ERR2240004,3
ERR2240005,3
ERR2240006,2
ERR2240007,2
ERR2240008,2
ERR2240009,1
ERR2240010,1
ERR2240011,1
ERR2240012,3
ERR2240013,3
ERR2240014,3
ERR2240015,3
ERR2240016,3
ERR2240017,3
ERR2240019,1
ERR2240020,1
ERR2240021,3
ERR2240022,3
ERR2240023,3
ERR2240024,1
ERR2240026,1
ERR2240027,2
ERR2240028,2
ERR2240029,2
ERR2240030,1
ERR2240031,1
ERR2240032,1
ERR2240033,1
ERR2240034,1
ERR2240035,1
ERR2240036,1
ERR2240037,1
ERR2240038,1
ERR2240039,1
ERR2240040,1
ERR2240041,1
ERR2240042,2
ERR2240043,3
ERR2240044,3
ERR2240045,2
ERR2240046,2
ERR2240047,2
ERR2240048,3
ERR2240049,3
ERR2240050,3
