SampleID,top_10_genes,top_100_genes,top_1000_genes,top_10000_genes
ERR2239979,1,1,1,1
ERR2239980,1,1,1,1
ERR2239981,1,1,1,1
ERR2239982,2,1,2,2
ERR2239983,2,1,2,2
ERR2239984,2,1,2,2
ERR2239985,1,1,1,1
ERR2239986,1,1,1,1
ERR2239987,1,1,1,1
ERR2239988,2,2,2,2
ERR2239989,2,2,2,2
ERR2239990,2,2,2,2
ERR2239991,1,1,1,1
ERR2239992,1,1,1,1
ERR2239993,1,1,1,1
ERR2239994,1,1,1,1
ERR2239995,1,1,1,1
ERR2239996,1,1,1,1
ERR2239997,1,1,2,2
ERR2239998,1,1,2,2
ERR2240000,1,1,2,2
ERR2240001,1,2,2,2
ERR2240002,1,2,2,2
ERR2240003,1,2,2,2
ERR2240004,2,2,2,2
ERR2240005,2,2,2,2
ERR2240006,2,2,2,2
ERR2240007,2,2,2,2
ERR2240008,2,2,2,2
ERR2240009,2,2,2,2
ERR2240010,1,1,1,1
ERR2240011,1,1,1,1
ERR2240012,1,1,1,1
ERR2240013,2,2,2,2
ERR2240014,2,2,2,2
ERR2240015,2,2,2,2
ERR2240016,2,2,2,2
ERR2240017,2,2,2,2
ERR2240019,1,1,1,1
ERR2240020,1,1,1,1
ERR2240021,2,2,2,2
ERR2240022,2,2,2,2
ERR2240023,2,2,2,2
ERR2240024,2,2,2,2
ERR2240025,2,2,2,2
ERR2240026,1,1,1,1
ERR2240027,1,1,1,1
ERR2240028,1,1,1,1
ERR2240029,1,1,1,1
ERR2240030,1,1,1,1
ERR2240031,1,1,1,1
ERR2240032,1,1,1,1
ERR2240033,1,1,1,1
ERR2240034,1,1,1,1
ERR2240035,1,1,1,1
ERR2240036,1,1,1,1
ERR2240037,1,1,1,1
ERR2240038,1,1,1,1
ERR2240039,2,2,2,2
ERR2240040,2,2,2,2
ERR2240041,1,2,2,2
ERR2240042,2,2,2,2
ERR2240043,1,2,2,2
ERR2240044,1,1,1,1
ERR2240045,1,1,1,1
ERR2240046,1,1,1,1
ERR2240047,1,1,1,2
ERR2240048,1,1,1,1
ERR2240049,1,1,1,1
ERR2240050,1,1,1,1
